Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1967,1967,°c,0.076,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1968,1968,°c,-0.073,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1969,1969,°c,-0.267,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1970,1970,°c,-0.03,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1971,1971,°c,-0.415,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1972,1972,°c,-0.252,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1973,1973,°c,-0.013,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1974,1974,°c,0.081,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1975,1975,°c,-0.389,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1976,1976,°c,-0.124,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1977,1977,°c,0.397,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1978,1978,°c,0.035,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1979,1979,°c,-0.306,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1980,1980,°c,0.412,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1981,1981,°c,0.871,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1982,1982,°c,-0.343,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1983,1983,°c,0.54,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1984,1984,°c,-0.233,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1985,1985,°c,-0.025,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1986,1986,°c,0.584,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1987,1987,°c,0.913,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1988,1988,°c,0.471,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1989,1989,°c,0.324,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1990,1990,°c,0.674,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1991,1991,°c,0.527,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1992,1992,°c,0.395,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1993,1993,°c,0.004,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1994,1994,°c,0.466,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1995,1995,°c,0.63,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1996,1996,°c,-0.011,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1997,1997,°c,0.384,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1998,1998,°c,1.272,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,1999,1999,°c,0.758,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2000,2000,°c,1,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2001,2001,°c,0.786,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2002,2002,°c,0.951,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2003,2003,°c,0.99,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2004,2004,°c,0.863,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2005,2005,°c,1.153,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2006,2006,°c,1.026,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2007,2007,°c,1.143,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2008,2008,°c,0.212,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2009,2009,°c,0.398,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2010,2010,°c,0.695,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2011,2011,°c,0.537,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2012,2012,°c,1.448,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2013,2013,°c,0.614,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2014,2014,°c,0.501,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2015,2015,°c,1.531,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2016,2016,°c,2.224,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2017,2017,°c,1.433,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2018,2018,°c,1.276,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2019,2019,°c,1.034,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2020,2020,°c,1.324,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2021,2021,°c,1.144,E,Estimated value
ET,Temperature change on land,840,United States of America,7271,Temperature change,7020,Meteorological year,2022,2022,°c,1.217,E,Estimated value
